Name,Model,Date of assembly,Price,Brand,KM Driven,Fuel Type,Body Type,Seat capicity,No. of prev owners,Transmission,city
2021 Used Skoda Octavia in Visakhapatnam,Octavia,2021,2195643,Skoda,33171,Petrol,Sedan,5,First Owner,Automatic (DCT),visakhapatnam
2016 Used Maruti Suzuki Baleno in Visakhapatnam,Baleno [2019-2022],2016,529000,Maruti Suzuki,54207,Petrol,Hatchback,5,First Owner,Manual,visakhapatnam
2021 Used Hyundai Venue in Visakhapatnam,Venue [2019-2022],2021,819000,Hyundai,64019,Petrol,CompactSuv,5,First Owner,Clutchless Manual (IMT),visakhapatnam
2011 Used Maruti Suzuki Wagon R in Visakhapatnam,Wagon R 1.0 [2010-2013],2011,217000,Maruti Suzuki,99837,Petrol,Hatchback,5,Second Owner,Manual,visakhapatnam
2022 Used Maruti Suzuki Grand Vitara in Visakhapatnam,Grand Vitara,2022,1364413,Maruti Suzuki,56788,Petrol,SUV,5,First Owner,Manual,visakhapatnam
2023 Used Kia Sonet in Visakhapatnam,Sonet [2023-2024],2023,1336133,Kia,8318,Diesel,CompactSuv,5,First Owner,Clutchless Manual (IMT),visakhapatnam
2019 Used Honda Amaze in Visakhapatnam,Amaze [2018-2021],2019,793000,Honda,74883,Diesel,CompactSedan,5,First Owner,Automatic (CVT),visakhapatnam
2015 Used Maruti Suzuki Swift in Visakhapatnam,Swift [2011-2014],2015,420000,Maruti Suzuki,119299,Diesel,Hatchback,5,First Owner,Manual,visakhapatnam
2015 Used Hyundai i10 in Visakhapatnam,i10 [2010-2017],2015,298000,Hyundai,94077,Petrol,Hatchback,5,First Owner,Manual,visakhapatnam
2016 Used Hyundai Grand i10 in Visakhapatnam,Grand i10 [2013-2017],2016,440000,Hyundai,33277,Petrol,Hatchback,5,First Owner,Manual,visakhapatnam
2018 Used Maruti Suzuki Baleno in Visakhapatnam,Baleno [2015-2019],2018,623000,Maruti Suzuki,45528,Petrol,Hatchback,5,First Owner,Manual,visakhapatnam
2016 Used Maruti Suzuki Swift in Visakhapatnam,Swift [2011-2014],2016,410000,Maruti Suzuki,137267,Diesel,Hatchback,5,First Owner,Manual,visakhapatnam
2021 Used Ford Ecosport in Visakhapatnam,EcoSport,2021,773000,Ford,115492,Diesel,CompactSuv,5,First Owner,Manual,visakhapatnam
2017 Used Maruti Suzuki Vitara Brezza in Visakhapatnam,Vitara Brezza [2016-2020],2017,659000,Maruti Suzuki,96255,Diesel,SUV,5,First Owner,Manual,visakhapatnam
2018 Used Maruti Suzuki Baleno in Visakhapatnam,Baleno [2015-2019],2018,659000,Maruti Suzuki,19750,Petrol,Hatchback,5,First Owner,Manual,visakhapatnam
2019 Used Hyundai Grand i10 in Visakhapatnam,Grand i10,2019,528000,Hyundai,55151,Petrol,Hatchback,5,First Owner,Manual,visakhapatnam
2013 Used Hyundai i20 in Visakhapatnam,i20 [2012-2014],2013,365000,Hyundai,106424,Diesel,Hatchback,5,First Owner,Manual,visakhapatnam
2024 Used Mahindra XUV700 in Visakhapatnam,XUV700,2024,2047075,Mahindra,14133,Diesel,SUV,7,First Owner,Manual,visakhapatnam
2022 Used Maruti Suzuki Grand Vitara in Visakhapatnam,Grand Vitara,2022,1510000,Maruti Suzuki,15300,Hybrid,SUV,5,First Owner ,Automatic (CVT),visakhapatnam
2021 Used Maruti Suzuki S-Presso in Adilabad,S-Presso [2019-2022],2021,410000,Maruti Suzuki,32782,Petrol,Hatchback,5,First Owner ,Manual,adilabad
2014 Used Mahindra XUV500 in Adilabad,XUV500 [2011-2015],2014,420000,Mahindra,149542,Diesel,SUV,7,Third Owner ,Manual,adilabad
2021 Used Tata Tiago in Adilabad,Tiago,2021,520000,Tata,65000,Petrol,Hatchback,5,First Owner ,Manual,adilabad
2006 Used Hyundai Santro in Adilabad,Santro Xing [2003-2008],2006,200000,Hyundai,93000,Petrol,Hatchback,5,Second Owner ,Manual,adilabad
2023 Used Maruti Suzuki DZire in Adilabad,Dzire [2020-2024],2023,710000,Maruti Suzuki,45277,Petrol,CompactSedan,5,First Owner ,Manual,adilabad
2017 Used Hyundai Grand i10 in Adilabad,Grand i10,2017,420000,Hyundai,75800,Petrol,Hatchback,5,First Owner ,Manual,adilabad
2018 Used Mahindra Marazzo in Adilabad,Marazzo [2018-2020],2018,650000,Mahindra,200000,Diesel,SUV,8,First Owner ,Manual,adilabad
2013 Used Tata Nano in Adilabad,Nano [2011-2013],2013,70000,Tata,29000,Petrol,Hatchback,4,Second Owner ,Manual,adilabad
2015 Used Hyundai i10 in Adilabad,i10 [2010-2017],2015,300000,Hyundai,55000,LPG,Hatchback,5,Second Owner ,Manual,adilabad
2018 Used Maruti Suzuki Vitara Brezza in Adilabad,Vitara Brezza [2016-2020],2018,800000,Maruti Suzuki,230000,Diesel,SUV,5,First Owner ,Manual,adilabad
2014 Used Ford Ecosport in Adilabad,EcoSport [2013-2015],2014,800000,Ford,138000,Diesel,SUV,5,Second Owner ,Manual,adilabad
2022 Used Renault Kiger in Adilabad,Kiger [2021-2022],2022,650000,Renault,77000,Petrol,CompactSuv,5,Second Owner ,Manual,adilabad
2016 Used Ford Figo in Adilabad,Figo [2015-2019],2016,300000,Ford,250000,Diesel,Hatchback,5,Second Owner ,Manual,adilabad
2021 Used Maruti Suzuki Baleno in Adilabad,Baleno [2019-2022],2021,750000,Maruti Suzuki,30000,Petrol,Hatchback,5,Second Owner ,Manual,adilabad
2016 Used Maruti Suzuki Swift DZire in Adilabad,Swift Dzire [2015-2017],2016,525000,Maruti Suzuki,125801,Diesel,CompactSedan,5,Second Owner ,Automatic,adilabad
2016 Used Maruti Suzuki Swift DZire in Adilabad,Swift Dzire [2015-2017],2016,350000,Maruti Suzuki,125000,Diesel,CompactSedan,5,4 or More Owners,Manual,adilabad
2022 Used Maruti Suzuki Swift in Adilabad,Swift [2021-2024],2022,650000,Maruti Suzuki,15000,Petrol,Hatchback,5,First Owner ,Manual,adilabad
2014 Used Ford Figo in Adilabad,Figo [2012-2015],2014,300000,Ford,120000,Diesel,Hatchback,5,Third Owner ,Manual,adilabad
2017 Used Tata Tiago in Adilabad,Tiago [2016-2020],2017,350000,Tata,134000,Petrol,Hatchback,5,First Owner ,Manual,adilabad
2011 Used Maruti Suzuki Ritz in Adilabad,Ritz [2009-2012],2011,200000,Maruti Suzuki,19891,Diesel,Hatchback,5,4 or More Owners,Manual,adilabad
2022 Used Maruti Suzuki Ertiga in Adilabad,Ertiga [2018-2022],2022,800000,Maruti Suzuki,110000,Petrol,MPV_MUV,7,First Owner ,Manual,adilabad
2015 Used Hyundai Xcent in Adilabad,Xcent [2014-2017],2015,250000,Hyundai,100000,Petrol,CompactSedan,5,Second Owner ,Manual,adilabad
2016 Used Tata Zest in Adilabad,Zest,2016,300000,Tata,230000,Diesel,CompactSedan,5,Third Owner ,Manual,adilabad
2019 Used Datsun Redigo in Karimnagar,redi-GO [2016-2020],2019,200000,Datsun,35000,Petrol,Hatchback,5,Second Owner ,Manual,adilabad
2018 Used Hyundai Creta in Ghazipur,Creta [2018-2019],2018,724520,Hyundai,85000,Diesel,SUV,5,First Owner ,Manual,chandauli
2014 Used Volkswagen Polo in Varanasi,Polo [2012-2014],2014,348316,Volkswagen,162500,Diesel,Hatchback,5,First Owner ,Manual,chandauli
2018 Used Tata Safari in Varanasi,Safari Storme 2019,2018,890000,Tata,49000,Diesel,SUV,7,First Owner,Manual,chandauli
2020 Used Tata Harrier in Ghazipur,Harrier [2019-2023],2020,1700000,Tata,160000,Diesel,SUV,5,First Owner ,Automatic (TC),chandauli
2021 Used Mahindra Scorpio in Varanasi,Scorpio 2021,2021,1275000,Mahindra,76500,Diesel,SUV,7,First Owner,Manual,chandauli
2017 Used Toyota Innova Crysta in Varanasi,Innova Crysta [2016-2020],2017,1345000,Toyota,77000,Diesel,SUV,7,First Owner,Manual,chandauli
2021 Used Toyota Glanza in Varanasi,Glanza [2019-2022],2021,650000,Toyota,67000,Petrol,Hatchback,5,First Owner,Manual,chandauli
2022 Used Maruti Suzuki DZire in Varanasi,Dzire [2020-2024],2022,775000,Maruti Suzuki,45000,CNG,CompactSedan,5,First Owner,Manual,chandauli
2020 Used Mahindra Scorpio in Varanasi,Scorpio 2021,2020,1125000,Mahindra,67500,Diesel,SUV,7,First Owner,Manual,chandauli
2021 Used Tata Nexon in Varanasi,Nexon [2020-2023],2021,725000,Tata,73000,Petrol,CompactSuv,5,First Owner,Automatic (AMT),chandauli
2022 Used Hyundai Alcazar in Varanasi,Alcazar [2021-2023],2022,1650000,Hyundai,60000,Diesel,SUV,7,First Owner,Manual,chandauli
2019 Used Maruti Suzuki DZire in Varanasi,Dzire [2017-2020],2019,595000,Maruti Suzuki,58000,Diesel,CompactSedan,5,First Owner,Manual,chandauli
2019 Used Tata Safari in Varanasi,Safari Storme 2019,2019,925000,Tata,78000,Diesel,SUV,7,First Owner,Manual,chandauli
2015 Used Toyota Innova in Varanasi,Innova [2015-2016],2015,745000,Toyota,78000,Diesel,SUV,7,First Owner,Manual,chandauli
2016 Used Renault Kwid in Chandauli,Kwid [2015-2019],2016,210000,Renault,42000,Petrol,Hatchback,5,Fourth Owner,Manual,chandauli
2008 Used Maruti Suzuki Estilo in Chandauli,Estilo [2006-2009],2008,125000,Maruti Suzuki,75000,Petrol,Hatchback,5,Second Owner ,Manual,chandauli
2020 Used Hyundai Verna in Chandauli,Verna [2020-2023],2020,1000000,Hyundai,95000,Diesel,Sedan,5,First Owner ,Manual,chandauli
2022 Used Mahindra XUV300 in Chandauli,XUV300 [2019-2024],2022,900000,Mahindra,60000,Diesel,CompactSuv,5,First Owner ,Manual,chandauli
2020 Used Maruti Suzuki DZire in Allahabad,Dzire [2020-2024],2020,604520,Maruti Suzuki,55181,Petrol,CompactSedan,5,First Owner,Manual,chandauli
2021 Used Maruti Suzuki Baleno in Allahabad,Baleno [2015-2019],2021,535000,Maruti Suzuki,43040,Petrol,Hatchback,5,Second Owner,Manual,chandauli
2022 Used Mercedes-Benz E-Class in Allahabad,E-Class [2017-2021],2022,5700000,Mercedes-Benz,44692,Petrol,Sedan,5,First Owner,Automatic,chandauli
2021 Used Mercedes-Benz E-Class in Allahabad,AMG E53,2021,7500000,Mercedes-Benz,8933,Petrol,Sedan,5,Second Owner,Automatic (TC),chandauli
2018 Used Honda WR-V in Allahabad,WR-V [2017-2020],2018,485000,Honda,67824,Petrol,SUV,5,First Owner,Manual,chandauli
2021 Used Tata Nexon in Allahabad,Nexon [2020-2023],2021,654000,Tata,99621,Petrol,CompactSuv,5,First Owner,Manual,chandauli
2020 Used Toyota Yaris in Allahabad,Yaris,2020,586000,Toyota,23543,Petrol,Sedan,5,First Owner,Manual,chandauli
2023 Used Renault Triber in Allahabad,Triber [2019-2023],2023,499000,Renault,49559,Petrol,MPV_MUV,7,Second Owner,Manual,chandauli
2022 Used Renault Kiger in Allahabad,Kiger [2021-2022],2022,756000,Renault,58023,Petrol,CompactSuv,5,First Owner,Automatic (CVT),chandauli
2024 Used BYD Seal in Udupi,Seal,2024,4200000,BYD,6000,Electric,FullSizeSuv,5,First Owner ,Automatic,udupi
2024 Used Tata Curvv EV in Udupi,Curvv EV,2024,2150000,Tata,21650,Electric,SUV,5,First Owner ,Automatic,udupi
2020 Used Mahindra Thar in Bangalore,Thar [2014-2020],2020,999000,Mahindra,39000,Diesel,SUV,6,First Owner,Manual,udupi
2021 Used MG Gloster in Bangalore,Gloster [2020-2022],2021,3199000,MG,26000,Diesel,SUV,6,First Owner,Automatic (TC),udupi
2022 Used MG Astor in Bangalore,Astor,2022,949000,MG,23096,Petrol,SUV,5,First Owner,Manual,udupi
2024 Used MG Windsor EV in Bangalore,Windsor EV,2024,1449000,MG,12141,Electric,MPV_MUV,5,First Owner,Automatic,udupi
2021 Used MG Astor in Bangalore,Astor,2021,1335000,MG,30666,Petrol,SUV,5,First Owner,Automatic (CVT),udupi
2015 Used Hyundai Santa Fe in Bangalore,Santa Fe [2014-2017],2015,775000,Hyundai,164000,Diesel,SUV,7,First Owner,Manual,udupi
2021 Used MG Hector in Bangalore,Hector [2021-2023],2021,1325000,MG,73044,Petrol,SUV,5,First Owner,Automatic (CVT),udupi
2022 Used MG Hector Plus in Bangalore,Hector Plus [2020-2023],2022,1499000,MG,47000,Petrol,SUV,6,First Owner,Automatic (DCT),udupi
2025 Used MG Windsor EV in Bangalore,Windsor EV,2025,1449000,MG,6203,Electric,MPV_MUV,5,First Owner,Automatic,udupi
2023 Used Nissan Magnite in Bangalore,Magnite [2020-2024],2023,776000,Nissan,9099,Petrol,CompactSuv,5,UnRegistered Car,Manual,udupi
2023 Used Nissan Magnite in Bangalore,Magnite [2020-2024],2023,999000,Nissan,11490,Petrol,CompactSuv,5,UnRegistered Car,Automatic (CVT),udupi
2018 Used Hyundai Creta in Mangalore,Creta [2018-2019],2018,1065000,Hyundai,77215,Petrol,SUV,5,First Owner,Automatic,udupi
2019 Used Hyundai Venue in Mangalore,Venue [2019-2022],2019,800000,Hyundai,181461,Diesel,SUV,5,Second Owner,Manual,udupi
2019 Used Hyundai Elite i20 in Mangalore,Elite i20 [2018-2019],2019,600000,Hyundai,68781,Petrol,Hatchback,5,First Owner,Manual,udupi
2019 Used Hyundai Venue in Mangalore,Venue [2019-2022],2019,950000,Hyundai,85500,Diesel,SUV,5,First Owner,Manual,udupi
2023 Used Hyundai Creta in Mangalore,Creta,2023,1225000,Hyundai,30406,Petrol,SUV,5,First Owner,Manual,udupi
2016 Used Hyundai Grand i10 in Mangalore,Grand i10 [2013-2017],2016,410000,Hyundai,92806,Petrol,Hatchback,5,First Owner,Manual,udupi
2016 Used Hyundai Creta in Mangalore,Creta [2017-2018],2016,750000,Hyundai,73727,Petrol,SUV,5,First Owner,Manual,udupi
2015 Used Hyundai Elite i20 in Mangalore,Elite i20 [2014-2015],2015,500000,Hyundai,92257,Petrol,Hatchback,5,Second Owner,Manual,udupi
2007 Used Hyundai i10 in Mangalore,i10 [2007-2010],2007,175000,Hyundai,40310,Petrol,Hatchback,5,Third Owner,Manual,udupi
2019 Used Hyundai Venue in Mangalore,Venue [2019-2022],2019,925000,Hyundai,80677,Petrol,CompactSuv,5,First Owner,Automatic (DCT),udupi
2019 Used Hyundai Venue in Mangalore,Venue [2019-2022],2019,850000,Hyundai,71761,Petrol,SUV,5,Second Owner,Manual,udupi
2023 Used Hyundai Grand i10 NIOS in Ankleshwar,Grand i10 Nios,2023,675000,Hyundai,3700,Petrol,Hatchback,5,First Owner ,Automatic (AMT),ankleshwar
2023 Used Tata Nexon EV in Ankleshwar,Nexon EV Prime,2023,1250000,Tata,39900,Electric,CompactSuv,5,First Owner ,Automatic,ankleshwar
2011 Used Ford Figo in Ankleshwar,Figo [2010-2012],2011,170000,Ford,180000,Diesel,Hatchback,5,Third Owner ,Manual,ankleshwar
2021 Used Renault Triber in Surat,Triber [2019-2023],2021,625000,Renault,56014,Petrol,MPV_MUV,7,First Owner ,Automatic (AMT),ankleshwar
2017 Used Honda WR-V in Surat,WR-V [2017-2020],2017,599999,Honda,72573,Diesel,SUV,5,First Owner ,Manual,ankleshwar
2018 Used Honda City in Surat,City [2014-2017],2018,674999,Honda,73382,Petrol,Sedan,5,First Owner ,Manual,ankleshwar
2018 Used Maruti Suzuki Swift in Surat,Swift [2018-2021],2018,650000,Maruti Suzuki,71932,Diesel,Hatchback,5,First Owner ,Automatic (AMT),ankleshwar
2022 Used MG Astor in Surat,Astor,2022,1200000,MG,12351,Petrol,SUV,5,First Owner ,Manual,ankleshwar
2022 Used MG Astor in Surat,Astor,2022,1250000,MG,37963,Petrol,SUV,5,First Owner ,Manual,ankleshwar
2021 Used Jaguar XE in Surat,XE,2021,2450000,Jaguar,53000,Petrol,Sedan,5,Second Owner ,Automatic (TC),ankleshwar
2016 Used Mercedes-Benz SLC in Surat,SLC,2016,5400000,Mercedes-Benz,23000,Petrol,Convertible,2,Second Owner ,Automatic,ankleshwar
2022 Used Skoda Octavia in Surat,Octavia,2022,2175000,Skoda,73000,Petrol,Sedan,5,First Owner ,Automatic (DCT),ankleshwar
2013 Used BMW 6-Series in Surat,6 Series Gran Coupe,2013,2850000,BMW,69000,Diesel,Coupe,5,Second Owner ,Automatic,ankleshwar
2024 Used BMW X5 in Surat,X5,2024,10500000,BMW,2800,Diesel,SUV,5,First Owner ,Automatic (TC),ankleshwar
2019 Used Maruti Suzuki Swift in Surat,Swift [2018-2021],2019,575000,Maruti Suzuki,74000,Petrol,Hatchback,5,First Owner,Automatic (AMT),ankleshwar
2015 Used Hyundai i10 in Surat,i10 [2010-2017],2015,265000,Hyundai,79361,Petrol,Hatchback,5,Second Owner,Manual,ankleshwar
2019 Used Maruti Suzuki Swift in Surat,Swift [2018-2021],2019,649999,Maruti Suzuki,85023,Petrol,Hatchback,5,First Owner,Automatic (AMT),ankleshwar
2015 Used Honda Amaze in Surat,Amaze [2013-2016],2015,424999,Honda,72613,Petrol,Sedan,5,First Owner,Manual,ankleshwar
2015 Used Skoda Superb in Surat,Superb [2014-2016],2015,725000,Skoda,76000,Diesel,Sedan,5,First Owner ,Automatic,ankleshwar
2021 Used Mercedes-Benz GLC in Surat,GLC [2019-2023],2021,4200000,Mercedes-Benz,44000,Petrol,SUV,5,First Owner ,Automatic (TC),ankleshwar
2016 Used Honda Jazz in Surat,Jazz [2015-2018],2016,424999,Honda,69455,Petrol,Hatchback,5,First Owner,Automatic,ankleshwar
2015 Used Maruti Suzuki Ciaz in Surat,Ciaz [2014-2017],2015,469999,Maruti Suzuki,88999,Diesel,Sedan,5,First Owner,Manual,ankleshwar
2015 Used Hyundai Grand i10 in Surat,Grand i10 [2013-2017],2015,399999,Hyundai,58823,Petrol,Hatchback,5,Second Owner,Manual,ankleshwar
2019 Used Maruti Suzuki Vitara Brezza in Surat,Vitara Brezza [2016-2020],2019,750000,Maruti Suzuki,73000,Diesel,SUV,5,First Owner,Automatic (AMT),ankleshwar
2023 Used Volvo C40 Recharge in Kolkata,EC40,2023,4750000,Volvo,2500,Electric,SUV,5,First Owner ,Automatic,kolkata
2021 Used Volvo XC60 in Kolkata,XC60 [2017-2021],2021,3500000,Volvo,35600,Diesel,SUV,5,Second Owner,Automatic,kolkata
2015 Used Audi Q5 in Kolkata,Q5 [2013-2018],2015,1300000,Audi,80500,Diesel,SUV,5,First Owner,Automatic,kolkata
2016 Used Toyota Innova Crysta in Kolkata,Innova Crysta [2016-2020],2016,1250000,Toyota,65000,Diesel,SUV,7,Second Owner,Manual,kolkata
2021 Used Hyundai Creta in Kolkata,Creta [2020-2023],2021,899000,Hyundai,27000,Petrol,SUV,5,First Owner,Manual,kolkata
2020 Used Kia Carnival in Kolkata,Carnival [2020-2023],2020,2450000,Kia,6000,Diesel,MPV_MUV,7,First Owner,Automatic (TC),kolkata
2016 Used BMW X5 in Kolkata,X5 [2014-2019],2016,2600000,BMW,73000,Diesel,SUV,7,Second Owner,Automatic,kolkata
2019 Used BMW X1 in Kolkata,X1 [2016-2020],2019,2449000,BMW,25040,Diesel,SUV,5,First Owner,Automatic,kolkata
2019 Used Toyota Innova Crysta in Kolkata,Innova Crysta [2016-2020],2019,1395000,Toyota,115000,Diesel,SUV,7,First Owner,Manual,kolkata
2020 Used Maruti Suzuki Ciaz in Kolkata,Ciaz,2020,612000,Maruti Suzuki,52000,Petrol,Sedan,5,First Owner,Manual,kolkata
2021 Used Kia Sonet in Kolkata,Sonet [2020-2022],2021,861000,Kia,29000,Diesel,CompactSuv,5,First Owner,Manual,kolkata
2019 Used Maruti Suzuki Ciaz in Kolkata,Ciaz,2019,566000,Maruti Suzuki,39000,Petrol,Sedan,5,First Owner,Manual,kolkata
2021 Used Maruti Suzuki Ertiga in Kolkata,Ertiga [2015-2018],2021,875000,Maruti Suzuki,34000,Petrol,SUV,7,First Owner,Manual,kolkata
2022 Used Hyundai Creta in Kolkata,Creta [2020-2023],2022,1234000,Hyundai,57000,Diesel,SUV,5,First Owner,Manual,kolkata
2021 Used Hyundai Elite i20 in Kolkata,i20 [2020-2023],2021,599000,Hyundai,22000,Petrol,Hatchback,5,First Owner,Manual,kolkata
2024 Used Tata Nexon in Kolkata,Nexon,2024,1250000,Tata,5000,Petrol,CompactSuv,5,First Owner,Automatic (DCT),kolkata
2023 Used Hyundai Creta in Kolkata,Creta [2020-2023],2023,1214999,Hyundai,46000,Petrol,SUV,5,First Owner ,Manual,kolkata
2020 Used Renault Kwid in Kolkata,Kwid [2015-2019],2020,299000,Renault,24000,Petrol,Hatchback,5,First Owner,Manual,kolkata
2021 Used Renault Kwid in Kolkata,Kwid [2015-2019],2021,359000,Renault,14000,Petrol,Hatchback,5,First Owner,Manual,kolkata
2023 Used Honda City in Kolkata,City,2023,1235000,Honda,1500,Petrol,Sedan,5,First Owner ,Manual,kolkata
2017 Used Maruti Suzuki Ciaz in Kolkata,Ciaz [2014-2017],2017,449000,Maruti Suzuki,38000,Petrol,Sedan,5,First Owner,Automatic,kolkata
2022 Used Tata Nexon in Kolkata,Nexon [2020-2023],2022,749000,Tata,38000,Petrol,CompactSuv,5,First Owner ,Manual,kolkata
2018 Used Maruti Suzuki Ciaz in Kolkata,Ciaz,2018,605000,Maruti Suzuki,43601,Petrol,Sedan,5,First Owner,Manual,kolkata
2021 Used Honda City in Kolkata,City 4th Generation,2021,900000,Honda,16000,Petrol,Sedan,5,First Owner,Manual,kolkata
2021 Used Hyundai Creta in Kolkata,Creta [2020-2023],2021,998000,Hyundai,58949,Petrol,SUV,5,First Owner,Manual,kolkata
2017 Used Renault Kwid in Kolkata,Kwid [2015-2019],2017,249000,Renault,68000,Petrol,Hatchback,5,First Owner,Manual,kolkata
2024 Used MG Hector Plus in Kolkata,Hector Plus,2024,1945000,MG,2588,Petrol,SUV,7,First Owner,Automatic (CVT),kolkata
2020 Used Hyundai Elantra in Kolkata,Elantra [2016-2019],2020,1152000,Hyundai,36257,Petrol,Sedan,5,First Owner,Automatic,kolkata
2017 Used Mercedes-Benz B-class in Kolkata,B-Class,2017,1152000,Mercedes-Benz,37000,Diesel,Hatchback,5,First Owner,Automatic,kolkata
2016 Used Volkswagen Vento in Kolkata,Vento,2016,341000,Volkswagen,67000,Petrol,Sedan,5,Second Owner,Automatic,kolkata
2023 Used Tata Tiago EV in Kolkata,Tiago EV,2023,699999,Tata,38000,Electric,Hatchback,5,First Owner,Automatic,kolkata
2020 Used Toyota Fortuner in Kolkata,Fortuner [2016-2021],2020,2599999,Toyota,56000,Diesel,SUV,7,First Owner,Manual,kolkata
2013 Used Honda Brio in Kanpur,Brio [2011-2013],2013,218000,Honda,71365,Petrol,Hatchback,5,First Owner ,Manual,lakhimpur
2015 Used Audi A6 in Kanpur,A6[2011-2015],2015,1098000,Audi,80345,Diesel,Sedan,5,First Owner,Automatic,lakhimpur
2016 Used Honda City in Kanpur,City [2014-2017],2016,570000,Honda,72211,Petrol,Sedan,5,First Owner ,Automatic,lakhimpur
2016 Used Honda Amaze in Kanpur,Amaze [2016-2018],2016,355000,Honda,61374,Diesel,CompactSedan,5,First Owner ,Manual,lakhimpur
2016 Used Ford Ecosport in Kanpur,EcoSport [2017-2019],2016,430000,Ford,67200,Diesel,SUV,5,First Owner ,Manual,lakhimpur
2013 Used Hyundai Verna in Kanpur,Verna [2011-2015],2013,355000,Hyundai,79806,Diesel,Sedan,5,First Owner ,Manual,lakhimpur
2012 Used Maruti Suzuki Ritz in Kanpur,Ritz [2009-2012],2012,180000,Maruti Suzuki,51365,Petrol,Hatchback,5,First Owner ,Manual,lakhimpur
2015 Used Hyundai Elite i20 in Kanpur,Elite i20 [2017-2018],2015,365000,Hyundai,95000,Diesel,Hatchback,5,First Owner ,Manual,lakhimpur
2016 Used Hyundai Elantra in Kanpur,Elantra [2016-2019],2016,855000,Hyundai,58000,Diesel,Sedan,5,First Owner,Automatic,lakhimpur
2015 Used Hyundai i10 in Kanpur,i10 [2010-2017],2015,249999,Hyundai,59593,Petrol,Hatchback,5,First Owner ,Manual,lakhimpur
2014 Used BMW 5-Series in Kanpur,5 Series [2013-2017],2014,1120000,BMW,82000,Diesel,Sedan,5,Second Owner,Automatic,lakhimpur
2013 Used Hyundai i20 in Kanpur,i20 [2012-2014],2013,235000,Hyundai,71588,Diesel,Hatchback,5,Second Owner ,Manual,lakhimpur
2020 Used Hyundai Venue in Kanpur,Venue [2019-2022],2020,765000,Hyundai,58000,Petrol,CompactSuv,5,First Owner,Automatic (DCT),lakhimpur
2024 Used Hyundai Venue in Kanpur,Venue [2022-2023],2024,1025000,Hyundai,37000,Diesel,CompactSuv,5,First Owner,Manual,lakhimpur
2014 Used Hyundai Verna in Kanpur,Verna [2011-2015],2014,385000,Hyundai,71365,Diesel,Sedan,5,First Owner ,Manual,lakhimpur
2013 Used Mahindra Xylo in Kanpur,Xylo [2012-2014],2013,285000,Mahindra,77362,Diesel,SUV,7,First Owner ,Manual,lakhimpur
2023 Used Skoda Slavia in Kanpur,Slavia [2022-2023],2023,1190000,Skoda,17234,Petrol,Sedan,5,First Owner ,Manual,lakhimpur
2012 Used Toyota Etios Liva in Kanpur,Etios Liva [2011-2013],2012,188000,Toyota,74652,Petrol,Hatchback,5,First Owner ,Manual,lakhimpur
2019 Used Hyundai Grand i10 in Kanpur,Grand i10,2019,425000,Hyundai,64000,Diesel,Hatchback,5,First Owner ,Manual,lakhimpur
2012 Used Honda City in Kanpur,City [2011-2014],2012,298000,Honda,74600,Petrol,Sedan,5,First Owner ,Manual,lakhimpur
2017 Used Maruti Suzuki Swift in Kanpur,Swift [2014-2018],2017,360000,Maruti Suzuki,64000,Petrol,Hatchback,5,First Owner,Manual,lakhimpur
2019 Used Hyundai Verna in Kanpur,Verna [2015-2017],2019,750000,Hyundai,79000,Diesel,Sedan,5,Second Owner ,Manual,lakhimpur
2013 Used Renault Duster in Kanpur,Duster [2012-2015],2013,265000,Renault,86000,Diesel,SUV,5,Second Owner ,Manual,lakhimpur
2012 Used Chevrolet Cruze in Kanpur,Cruze [2009-2012],2012,325000,Chevrolet,79000,Diesel,Sedan,5,Second Owner ,Manual,lakhimpur
2023 Used Mercedes-Benz EQB in Indore,EQB,2023,4699000,Mercedes-Benz,18600,Electric,SUV,5,UnRegistered Car,Automatic,katni
2024 Used Mercedes-Benz GLA in Indore,GLA,2024,4655000,Mercedes-Benz,3110,Petrol,SUV,5,UnRegistered Car,Automatic (DCT),katni
2022 Used Mercedes-Benz C-Class in Indore,C-Class [2022-2024],2022,4600000,Mercedes-Benz,29500,Diesel,Sedan,5,First Owner ,Automatic (TC),katni
2021 Used Mercedes-Benz E-Class in Indore,E-Class [2017-2021],2021,4699000,Mercedes-Benz,28988,Diesel,Sedan,5,First Owner ,Automatic,katni
2022 Used Mercedes-Benz E-Class in Indore,E-Class [2017-2021],2022,4399000,Mercedes-Benz,43000,Petrol,Sedan,5,First Owner,Automatic,katni
2022 Used Mercedes-Benz E-Class in Indore,E-Class [2021-2024],2022,5599000,Mercedes-Benz,37000,Diesel,Sedan,5,First Owner,Automatic (TC),katni
2024 Used Mercedes-Benz C-Class in Indore,C-Class [2022-2024],2024,5300000,Mercedes-Benz,3500,Petrol,Sedan,5,UnRegistered Car,Automatic (TC),katni
2021 Used Jeep Compass in Indore,Compass,2021,2099000,Jeep,35018,Petrol,SUV,5,First Owner ,Automatic (DCT),katni
2016 Used Mercedes-Benz E-Class in Indore,E-Class [2015-2017],2016,1999000,Mercedes-Benz,81609,Diesel,Sedan,5,First Owner ,Automatic,katni
2021 Used Mercedes-Benz E-Class in Indore,E-Class [2015-2017],2021,4599000,Mercedes-Benz,42644,Petrol,Sedan,5,First Owner ,Automatic,katni
